iter	Passed	Remaining
636	7826500	6917299
637	7838616	6904862
638	7850477	6892203
639	7862599	6879774
640	7874753	6867374
641	7886934	6854999
642	7899253	6842743
643	7911394	6830334
644	7923592	6817974
645	7935865	6805680
646	7948149	6793395
647	7960324	6781017
648	7972633	6768753
649	7984865	6756424
650	7997129	6744122
651	8009241	6731694
652	8021302	6719222
653	8033466	6706839
654	8045648	6694470
655	8057787	6682067
656	8069910	6669652
657	8082170	6657349
658	8094419	6645039
659	8106590	6632664
660	8118899	6620403
661	8131206	6608140
662	8143411	6595794
663	8155573	6583414
664	8167716	6571019
665	8179936	6558687
666	8192106	6546316
667	8204274	6533943
668	8216400	6521537
669	8228759	6509317
670	8240968	6496977
671	8253501	6484893
672	8265730	6472570
673	8277596	6459963
674	8289714	6447555
675	8301693	6435040
676	8313778	6422608
677	8326096	6410357
678	8338299	6398018
679	8350649	6385791
680	8362821	6373427
681	8374923	6361012
682	8387207	6348735
683	8399468	6336440
684	8411626	6324069
685	8423539	6311515
686	8435744	6299180
687	8447978	6286867
688	8460179	6274530
689	8472337	6262162
690	8484509	6249805
691	8496569	6237366
692	8508763	6225026
693	8520995	6212714
694	8533435	6200553
695	8545995	6188479
696	8558172	6176127
697	8570512	6163892
698	8582627	6151496
699	8594861	6139186
700	8607059	6126850
701	8618920	6114277
702	8631203	6102003
703	8643109	6089463
704	8655370	6077175
705	8667568	6064842
706	8679664	6052438
707	8692038	6040230
708	8704311	6027950
709	8716520	6015627
710	8728732	6003305
711	8740894	5990950
712	8753079	5978611
713	8765378	5966350
714	8777527	5953987
715	8789686	5941631
716	8801929	5929333
717	8814209	5917059
718	8826318	5904672
719	8838452	5892301
720	8850553	5879910
721	8862793	5867611
722	8874978	5855276
723	8887262	5843006
724	8899570	5830753
725	8911871	5818494
726	8924187	5806245
727	8936435	5793952
728	8948823	5781750
729	8960932	5769367
730	8973196	5757084
731	8985503	5744829
732	8997662	5732480
733	9010010	5720252
734	9022324	5708001
735	9034156	5695446
736	9046456	5683187
737	9058834	5670977
738	9071031	5658654
739	9083328	5646393
740	9095636	5634139
741	9107829	5621814
742	9120005	5609478
743	9132276	5597201
744	9144682	5585007
745	9156832	5572656
746	9169079	5560365
747	9181035	5547898
748	9193181	5535547
749	9205418	5523250
750	9217613	5510929
751	9229784	5498595
752	9241968	5486268
753	9254084	5473901
754	9266378	5461640
755	9278662	5449373
756	9290932	5437097
757	9303302	5424880
758	9315469	5412545
759	9327579	5400177
760	9339728	5387832
761	9351838	5375466
762	9363988	5363123
763	9375909	5350649
764	9388041	5338297
765	9400208	5325966
766	9412441	5313673
767	9424641	5301360
768	9436749	5288997
769	9449060	5276748
770	9461533	5264588
771	9473825	5252328
772	9485943	5239971
773	9497827	5227486
774	9510138	5215236
775	9522305	5202909
776	9534487	5190589
777	9546611	5178239
778	9558479	5165750
779	9570725	5153467
780	9582905	5141149
781	9595132	5128856
782	9607341	5116553
783	9619644	5104301
784	9631924	5092036
785	9644113	5079723
786	9656381	5067452
787	9668522	5055115
788	9680680	5042787
789	9692937	5030511
790	9705163	5018219
791	9717006	5005730
792	9729281	4993465
793	9741561	4981201
794	9754005	4969021
795	9766586	4956910
796	9778772	4944599
797	9790873	4932244
798	9803217	4920012
